ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2016-02-01,128.60000610351562,2020-05-01,71.3499984741211,-13880.976066589355,-10793.915558150102,RUBYMILLS,22,100
,2016-05-01,195.27499389648438,2020-10-01,78.67500305175781,-19270.350700378418,-9447.407831231478,RUBYMILLS,30,100
,2016-10-01,237.47500610351562,2021-12-01,129.97500610351562,-13167.0,-5517.2848676925805,RUBYMILLS,50,100
,2022-09-01,76.75,2023-03-01,82.69999694824219,2866.4994049072266,3747.0580456303614,SAIL,22,200
,2017-07-01,30.200000762939453,2018-06-01,13.800000190734863,-16235.550378799438,-53671.24092165103,SAKHTISUG,22,100
,2018-02-01,20.399999618530273,2019-01-01,11.75,-13670.998878479004,-65411.479081358826,SAKHTISUG,30,100
,2019-03-01,11.25,2020-06-01,9.699999809265137,-5065.398983001709,-45025.76873779297,SAKHTISUG,50,100
,2014-07-01,2.240000009536743,2021-02-01,5.150000095367432,40175.99680709839,1826181.633468506,SAKUMA,22,100
,2014-08-01,2.2750000953674316,2021-10-01,10.0,105026.48886823654,4699171.982007343,SAKUMA,30,100
,2014-08-01,2.2750000953674316,2023-04-01,12.449999809265137,134694.98886823654,6026621.708743369,SAKUMA,50,100
,2014-09-01,83.75,2019-05-01,63.29999923706055,-7052.600273132324,-8497.108762810029,SANGAMIND,22,100
,2014-07-01,79.55000305175781,2019-10-01,40.400001525878906,-14684.150287628174,-18587.532009655915,SANGAMIND,30,100
,2014-09-01,83.75,2020-12-01,76.8499984741211,-1449.9010925292969,-1746.8687861798755,SANGAMIND,50,100
,2015-05-01,56.650001525878906,2020-05-01,16.450000762939453,-21477.401210784912,-37417.074285445415,SANGHIIND,22,100
,2015-09-01,55.54999923706055,2020-10-01,31.799999237060547,-13148.99917602539,-23438.50184254643,SANGHIIND,30,100
,2016-03-01,60.5,2022-02-01,47.20000076293945,-6830.999622344971,-11198.3600366311,SANGHIIND,50,100
,2015-06-01,324.20001220703125,2019-02-01,93.0,-21256.60028076172,-6560.679099000531,SANGHVIMOV,22,100
,2015-09-01,318.70001220703125,2019-08-01,88.0999984741211,-21737.500717163086,-6806.795146926344,SANGHVIMOV,30,100
,2016-04-01,289.95001220703125,2020-06-01,58.650001525878906,-23988.69937133789,-8218.122601210101,SANGHVIMOV,50,100
,2018-04-01,74.55000305175781,2019-05-01,32.70000076293945,-16743.30061340332,-22459.154833003766,SCI,22,100
,2018-08-01,54.349998474121094,2020-01-01,59.95000076293945,2589.7004203796387,4734.3699895050495,SCI,30,100
,2013-10-01,59.04999923706055,2020-10-01,101.44999694824219,23774.40155029297,40295.59584795418,SHANTIGEAR,22,100
,2023-09-01,35.29999923706055,2023-10-01,30.5,-4499.699352264404,-12747.023936307307,SHIVAMAUTO,22,150
,2015-01-01,42.54999923706055,2020-06-01,86.75,28340.997848510742,65909.297322118,SHIVATEX,22,100
,2022-08-01,160.89999389648438,2023-02-01,113.05000305175781,-9048.90170288086,-5556.586652584418,SHIVATEX,22,100
,2021-07-01,242.5,2024-04-01,169.1999969482422,-8560.800750732422,-3581.9250003064526,SHIVATEX,22,150
,2015-02-01,38.29999923706055,2020-12-01,114.6500015258789,59586.29880523682,149339.08903885505,SHIVATEX,30,100
,2014-07-01,33.25,2014-11-01,38.29999923706055,5412.0,16912.5,SHIVATEX,50,100
,2015-11-01,90.94999694824219,2022-05-01,194.4499969482422,33722.5025100708,36714.755656280366,SHIVATEX,50,100
,2014-02-01,2.7968649864196777,2015-09-01,3.4960811138153076,10780.961011886597,404423.2464742023,SHREERAMA,22,100
,2016-02-01,5.069317817687988,2019-11-01,3.7145869731903076,-5947.313610076904,-121509.78642978644,SHREERAMA,22,100
,2014-08-01,5.156720161437988,2020-05-01,3.364978075027466,-10930.98037648201,-208442.52512406887,SHREERAMA,30,100
,2016-02-01,5.069317817687988,2022-02-01,11.274864196777344,37752.531618118286,771323.3831033831,SHREERAMA,50,100
,2015-05-01,35.5,2022-06-01,87.1500015258789,44742.74742126465,126035.90822891452,SHREYANIND,30,100
,2015-01-01,365.3999938964844,2020-01-01,81.69999694824219,-23074.79949951172,-6314.942497248281,SHREYAS,22,100
,2015-01-01,365.3999938964844,2020-07-01,66.5999984741211,-24546.699249267578,-6717.761264172738,SHREYAS,30,100
,2015-03-01,402.5,2021-06-01,181.60000610351562,-17027.399322509766,-4103.976758977255,SHREYAS,50,100
,2015-12-01,311.1000061035156,2019-11-01,42.849998474121094,-25502.3994140625,-8275.969469150605,SIMPLEXINF,22,100
,2016-07-01,305.3500061035156,2020-04-01,26.549999237060547,-27778.100074768066,-8960.677443473569,SIMPLEXINF,30,100
,2017-11-01,561.75,2021-02-01,36.650001525878906,-28047.598625183105,-4956.719949689814,SIMPLEXINF,50,100
,2018-01-01,584.9000244140625,2019-12-01,32.79999923706055,-28327.950622558594,-4805.8274723742015,SIMPLEXINF,50,150
,2014-11-01,111.25,2020-01-01,32.900001525878906,-20484.350410461426,-18767.155404578436,SKMEGGPROD,22,100
,2014-12-01,101.94999694824219,2020-05-01,34.5,-20300.700897216797,-19538.69162567856,SKMEGGPROD,30,100
,2015-02-01,144.8000030517578,2020-10-01,40.650001525878906,-21672.9009475708,-14890.347298628281,SKMEGGPROD,50,100
